period,capex_usd,opex_usd,total_usd
2022-Q1,420000,120000,540000
2022-Q2,380000,115000,495000
2022-Q3,450000,130000,580000
2022-Q4,410000,125000,535000
2023-Q1,430000,118000,548000
2023-Q2,460000,122000,582000
2023-Q3,480000,140000,620000
2023-Q4,500000,150000,650000
2024-Q1,520000,148000,668000
2024-Q2,540000,155000,695000
2024-Q3,560000,160000,720000
2024-Q4,580000,165000,745000
2025-Q1,600000,158000,758000
2025-Q2,610000,162000,772000
2025-Q3,620000,170000,790000
2025-Q4,630000,175000,805000
2026-Q1,640000,168000,808000
2026-Q2,650000,170000,820000
2026-Q3,660000,172000,832000
